Team,Opponent,Team-Score,Opponent-Score,Win,Date,Time,Location,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,DRtg,Season,Playoff,Home
Houston Rockets,Los Angeles Lakers,108,90,1,2014-10-28,10:30 PM,"STAPLES Center, Los Angeles, California",31,73,0.425,12,29,0.414,34,50,0.68,14,33,47,22,7,3,13,30,0.568,0.507,0.397,0.685,35.9,75.0,56.6,71.0,7.7,4.3,12.0,118.8,99.0,2014-15,0,0
New Orleans Pelicans,Orlando Magic,101,84,1,2014-10-28,8:00 PM,"Smoothie King Center, New Orleans, Louisiana",41,101,0.406,4,17,0.235,15,31,0.484,26,36,62,20,10,17,9,17,0.441,0.426,0.168,0.307,39.4,69.2,52.5,48.8,10.5,23.3,7.3,106.1,88.2,2014-15,0,1
San Antonio Spurs,Dallas Mavericks,101,100,1,2014-10-28,8:00 PM,"AT&T Center, San Antonio, Texas",37,70,0.529,14,28,0.5,13,16,0.813,9,29,38,23,5,3,20,20,0.6559999999999999,0.629,0.4,0.22899999999999998,27.3,76.3,53.5,62.2,5.8,5.3,20.6,117.3,116.1,2014-15,0,1
Orlando Magic,New Orleans Pelicans,84,101,0,2014-10-28,8:00 PM,"Smoothie King Center, New Orleans, Louisiana",32,84,0.381,4,11,0.364,16,21,0.762,16,40,56,17,5,9,18,25,0.45,0.405,0.131,0.25,30.8,60.6,47.5,53.1,5.3,10.7,16.2,88.2,106.1,2014-15,0,0
Dallas Mavericks,San Antonio Spurs,100,101,0,2014-10-28,8:00 PM,"AT&T Center, San Antonio, Texas",38,78,0.48700000000000004,8,21,0.381,16,19,0.8420000000000001,9,24,33,17,9,3,10,20,0.579,0.5379999999999999,0.26899999999999996,0.244,23.7,72.7,46.5,44.7,10.5,7.1,10.4,116.1,117.3,2014-15,0,0
Los Angeles Lakers,Houston Rockets,90,108,0,2014-10-28,10:30 PM,"STAPLES Center, Los Angeles, California",28,79,0.354,3,10,0.3,31,39,0.795,11,25,36,16,7,3,11,32,0.46799999999999997,0.373,0.127,0.494,25.0,64.1,43.4,57.1,7.7,6.8,10.3,99.0,118.8,2014-15,0,1
Golden State Warriors,Sacramento Kings,95,77,1,2014-10-29,10:00 PM,"Sleep Train Arena, Sacramento, California",33,75,0.44,6,27,0.222,23,32,0.7190000000000001,7,37,44,21,12,8,22,32,0.5329999999999999,0.48,0.36,0.42700000000000005,16.7,71.2,46.8,63.6,11.8,13.3,19.8,93.3,75.6,2014-15,0,0
Houston Rockets,Utah Jazz,104,93,1,2014-10-29,9:00 PM,"EnergySolutions Arena, Salt Lake City, Utah",40,77,0.519,14,27,0.519,10,14,0.7140000000000001,8,27,35,18,7,6,18,23,0.625,0.61,0.35100000000000003,0.182,27.6,67.5,50.7,45.0,8.0,9.5,17.8,118.5,106.0,2014-15,0,0
Chicago Bulls,New York Knicks,104,80,1,2014-10-29,8:00 PM,"Madison Square Garden (IV), New York, New York",36,71,0.507,7,24,0.292,25,30,0.833,10,37,47,21,9,4,15,18,0.618,0.556,0.33799999999999997,0.423,29.4,72.5,55.3,58.3,10.3,5.9,15.1,119.6,92.0,2014-15,0,0
Charlotte Hornets,Milwaukee Bucks,108,106,1,2014-10-29,7:00 PM,"Time Warner Cable Arena, Charlotte, North Carolina",41,101,0.406,6,21,0.28600000000000003,20,29,0.69,15,35,50,27,8,9,10,20,0.475,0.436,0.20800000000000002,0.287,31.9,92.1,58.8,65.9,7.9,13.6,8.1,106.8,104.8,2014-15,0,1
Miami Heat,Washington Wizards,107,95,1,2014-10-29,7:30 PM,"AmericanAirlines Arena, Miami, Florida",39,81,0.48100000000000004,9,28,0.321,20,23,0.87,12,32,44,20,9,3,14,17,0.5870000000000001,0.537,0.34600000000000003,0.284,29.3,82.1,55.0,51.3,9.9,5.4,13.3,117.5,104.3,2014-15,0,1
Memphis Grizzlies,Minnesota Timberwolves,105,101,1,2014-10-29,8:00 PM,"FedEx Forum, Memphis, Tennessee",43,82,0.524,4,15,0.267,15,20,0.75,10,23,33,21,10,5,17,21,0.578,0.5489999999999999,0.183,0.244,26.3,54.8,41.3,48.8,10.4,6.8,15.8,109.7,105.5,2014-15,0,1
Denver Nuggets,Detroit Pistons,89,79,1,2014-10-29,9:00 PM,"Pepsi Center, Denver, Colorado",30,85,0.353,6,24,0.25,23,31,0.742,14,37,51,17,7,4,15,21,0.451,0.38799999999999996,0.282,0.365,27.5,82.2,53.1,56.7,7.3,6.9,13.2,92.3,82.0,2014-15,0,1
Boston Celtics,Brooklyn Nets,121,105,1,2014-10-29,7:30 PM,"TD Garden, Boston, Massachusetts",49,88,0.557,8,22,0.364,15,23,0.652,9,26,35,28,11,5,12,25,0.617,0.602,0.25,0.261,23.1,74.3,47.3,57.1,11.1,8.2,10.9,121.8,105.7,2014-15,0,1
Toronto Raptors,Atlanta Hawks,109,102,1,2014-10-29,7:30 PM,"Air Canada Centre, Toronto, Canada",37,90,0.41100000000000003,8,26,0.308,27,33,0.818,16,32,48,26,13,9,9,22,0.521,0.456,0.289,0.36700000000000005,33.3,76.2,53.3,70.3,13.9,15.5,7.9,116.6,109.1,2014-15,0,1
Phoenix Suns,Los Angeles Lakers,119,99,1,2014-10-29,10:00 PM,"US Airways Center, Phoenix, Arizona",45,82,0.5489999999999999,16,32,0.5,13,18,0.722,9,31,40,23,5,3,14,25,0.662,0.6459999999999999,0.39,0.22,25.7,72.1,51.3,51.1,5.3,4.1,13.5,127.0,105.7,2014-15,0,1
Portland Trail Blazers,Oklahoma City Thunder,106,89,1,2014-10-29,10:30 PM,"Moda Center, Portland, Oregon",39,87,0.44799999999999995,11,29,0.379,17,22,0.773,13,29,42,23,4,9,10,19,0.5479999999999999,0.511,0.33299999999999996,0.253,31.0,67.4,49.4,59.0,4.5,13.8,9.4,119.4,100.2,2014-15,0,1
