Team,Opponent,Team-Score,Opponent-Score,Win,Date,Time,Location,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,DRtg,Season,Playoff,Home
Indiana Pacers,Philadelphia 76ers,103,91,1,2014-10-29,7:00 PM,"Bankers Life Fieldhouse, Indianapolis, Indiana",38,81,0.469,8,25,0.32,19,28,0.679,14,36,50,22,5,13,17,24,0.552,0.519,0.309,0.34600000000000003,34.1,70.6,54.3,57.9,5.3,19.1,15.4,109.5,96.7,2014-15,0,1
Milwaukee Bucks,Charlotte Hornets,106,108,0,2014-10-29,7:00 PM,"Time Warner Cable Arena, Charlotte, North Carolina",39,80,0.488,7,14,0.5,21,24,0.875,3,32,35,25,9,10,14,25,0.585,0.531,0.175,0.3,7.9,68.1,41.2,64.1,8.9,12.5,13.4,104.8,106.8,2014-15,0,0
Washington Wizards,Miami Heat,95,107,0,2014-10-29,7:30 PM,"AmericanAirlines Arena, Miami, Florida",36,75,0.48,6,19,0.316,17,24,0.708,7,29,36,20,7,2,14,20,0.555,0.52,0.253,0.32,17.9,70.7,45.0,55.6,7.7,3.8,14.1,104.3,117.5,2014-15,0,0
Minnesota Timberwolves,Memphis Grizzlies,101,105,0,2014-10-29,8:00 PM,"FedEx Forum, Memphis, Tennessee",39,86,0.45299999999999996,6,12,0.5,17,23,0.7390000000000001,19,28,47,20,8,4,23,21,0.525,0.488,0.14,0.267,45.2,73.7,58.8,51.3,8.4,6.0,19.3,105.5,109.7,2014-15,0,0
Detroit Pistons,Denver Nuggets,79,89,0,2014-10-29,9:00 PM,"Pepsi Center, Denver, Colorado",31,84,0.369,6,26,0.231,11,19,0.579,8,37,45,15,4,5,15,27,0.428,0.405,0.31,0.226,17.8,72.5,46.9,48.4,4.2,8.2,14.0,82.0,92.3,2014-15,0,0
Brooklyn Nets,Boston Celtics,105,121,0,2014-10-29,7:30 PM,"TD Garden, Boston, Massachusetts",39,80,0.488,7,19,0.368,20,26,0.769,9,30,39,20,6,7,20,21,0.574,0.531,0.23800000000000002,0.325,25.7,76.9,52.7,51.3,6.0,10.6,17.9,105.7,121.8,2014-15,0,0
Atlanta Hawks,Toronto Raptors,102,109,0,2014-10-29,7:30 PM,"Air Canada Centre, Toronto, Canada",40,80,0.5,13,22,0.591,9,17,0.529,10,32,42,26,6,8,17,24,0.583,0.581,0.275,0.213,23.8,66.7,46.7,65.0,6.4,12.5,16.3,109.1,116.6,2014-15,0,0
Los Angeles Lakers,Phoenix Suns,99,119,0,2014-10-29,10:00 PM,"US Airways Center, Phoenix, Arizona",37,86,0.43,4,13,0.308,21,25,0.84,12,26,38,20,9,3,13,18,0.51,0.45299999999999996,0.151,0.29100000000000004,27.9,74.3,48.7,54.1,9.6,6.0,11.8,105.7,127.0,2014-15,0,0
Oklahoma City Thunder,Portland Trail Blazers,89,106,0,2014-10-29,10:30 PM,"Moda Center, Portland, Oregon",33,81,0.40700000000000003,2,16,0.125,21,26,0.8079999999999999,14,29,43,19,9,5,13,28,0.48100000000000004,0.42,0.198,0.321,32.6,69.0,50.6,57.6,10.1,8.6,12.3,100.2,119.4,2014-15,0,0
Philadelphia 76ers,Indiana Pacers,91,103,0,2014-10-29,7:00 PM,"Bankers Life Fieldhouse, Indianapolis, Indiana",34,89,0.382,6,21,0.28600000000000003,17,30,0.5670000000000001,15,27,42,17,10,5,11,29,0.445,0.41600000000000004,0.23600000000000002,0.337,29.4,65.9,45.7,50.0,10.6,8.9,9.7,96.7,109.5,2014-15,0,0
Sacramento Kings,Golden State Warriors,77,95,0,2014-10-29,10:00 PM,"Sleep Train Arena, Sacramento, California",24,78,0.308,3,18,0.16699999999999998,26,35,0.743,15,35,50,13,11,3,26,26,0.41200000000000003,0.327,0.231,0.449,28.8,83.3,53.2,54.2,10.8,6.3,21.8,75.6,93.3,2014-15,0,1
Utah Jazz,Houston Rockets,93,104,0,2014-10-29,9:00 PM,"EnergySolutions Arena, Salt Lake City, Utah",38,81,0.469,3,18,0.16699999999999998,14,17,0.8240000000000001,13,21,34,16,8,6,13,16,0.526,0.488,0.222,0.21,32.5,72.4,49.3,42.1,9.1,12.0,12.8,106.0,118.5,2014-15,0,1
New York Knicks,Chicago Bulls,80,104,0,2014-10-29,8:00 PM,"Madison Square Garden (IV), New York, New York",31,85,0.365,3,17,0.17600000000000002,15,17,0.882,14,24,38,19,9,5,11,22,0.433,0.382,0.2,0.2,27.5,70.6,44.7,61.3,10.3,10.6,10.6,92.0,119.6,2014-15,0,1
New York Knicks,Cleveland Cavaliers,95,90,1,2014-10-30,8:00 PM,"Quicken Loans Arena, Cleveland, Ohio",37,69,0.536,6,12,0.5,15,18,0.833,9,26,35,30,9,1,15,26,0.618,0.58,0.174,0.261,29.0,70.3,51.5,81.1,10.8,2.2,16.3,114.3,108.3,2014-15,0,0
Washington Wizards,Orlando Magic,105,98,1,2014-10-30,7:00 PM,"Amway Center, Orlando, Florida",39,80,0.488,7,13,0.5379999999999999,20,26,0.769,6,31,37,22,10,0,12,25,0.574,0.531,0.163,0.325,16.7,91.2,52.9,56.4,10.5,0.0,11.6,109.7,102.4,2014-15,0,0
Dallas Mavericks,Utah Jazz,120,102,1,2014-10-30,8:30 PM,"American Airlines Center, Dallas, Texas",47,85,0.5529999999999999,8,21,0.381,18,23,0.7829999999999999,13,31,44,25,8,5,9,15,0.631,0.6,0.247,0.271,34.2,67.4,52.4,53.2,8.9,10.4,8.6,134.0,113.9,2014-15,0,1
Minnesota Timberwolves,Detroit Pistons,97,91,1,2014-10-30,8:00 PM,"Target Center, Minneapolis, Minnesota",37,76,0.48700000000000004,4,10,0.4,19,28,0.679,10,33,43,18,8,3,12,21,0.5489999999999999,0.513,0.132,0.368,23.8,70.2,48.3,48.6,8.9,4.3,12.0,107.4,100.8,2014-15,0,1
Los Angeles Clippers,Oklahoma City Thunder,93,90,1,2014-10-30,10:30 PM,"STAPLES Center, Los Angeles, California",34,87,0.391,7,30,0.233,18,25,0.72,14,19,33,17,10,4,11,27,0.474,0.431,0.345,0.287,26.4,70.4,41.3,50.0,11.0,9.1,10.1,102.3,99.0,2014-15,0,1
Utah Jazz,Dallas Mavericks,102,120,0,2014-10-30,8:30 PM,"American Airlines Center, Dallas, Texas",36,83,0.434,14,35,0.4,16,18,0.889,15,25,40,22,6,0,16,21,0.561,0.518,0.42200000000000004,0.217,32.6,65.8,47.6,61.1,6.7,0.0,15.0,113.9,134.0,2014-15,0,0
Detroit Pistons,Minnesota Timberwolves,91,97,0,2014-10-30,8:00 PM,"Target Center, Minneapolis, Minnesota",38,91,0.418,7,21,0.33299999999999996,8,13,0.615,14,32,46,20,3,5,12,24,0.47,0.456,0.231,0.14300000000000002,29.8,76.2,51.7,52.6,3.3,7.6,11.0,100.8,107.4,2014-15,0,0
Oklahoma City Thunder,Los Angeles Clippers,90,93,0,2014-10-30,10:30 PM,"STAPLES Center, Los Angeles, California",28,65,0.431,6,21,0.28600000000000003,28,34,0.8240000000000001,8,39,47,23,5,2,22,27,0.563,0.47700000000000004,0.32299999999999995,0.523,29.6,73.6,58.8,82.1,5.5,3.5,21.6,99.0,102.3,2014-15,0,0
Cleveland Cavaliers,New York Knicks,90,95,0,2014-10-30,8:00 PM,"Quicken Loans Arena, Cleveland, Ohio",32,70,0.457,9,24,0.375,17,20,0.85,11,22,33,22,5,2,19,15,0.5710000000000001,0.521,0.34299999999999997,0.28600000000000003,29.7,71.0,48.5,68.8,6.0,3.5,19.4,108.3,114.3,2014-15,0,1
Orlando Magic,Washington Wizards,98,105,0,2014-10-30,7:00 PM,"Amway Center, Orlando, Florida",37,72,0.514,6,15,0.4,18,24,0.75,3,30,33,20,4,1,18,23,0.594,0.556,0.20800000000000002,0.33299999999999996,8.8,83.3,47.1,54.1,4.2,1.5,17.9,102.4,109.7,2014-15,0,1
Memphis Grizzlies,Indiana Pacers,97,89,1,2014-10-31,7:00 PM,"Bankers Life Fieldhouse, Indianapolis, Indiana",35,79,0.44299999999999995,7,19,0.368,20,27,0.741,11,29,40,20,11,2,9,21,0.534,0.48700000000000004,0.24100000000000002,0.342,23.9,72.5,46.5,57.1,12.6,3.8,9.0,111.4,102.2,2014-15,0,0
Cleveland Cavaliers,Chicago Bulls,114,108,1,2014-10-31,8:00 PM,"United Center, Chicago, Illinois",41,104,0.39399999999999996,3,15,0.2,29,33,0.879,20,32,52,18,8,4,9,18,0.48100000000000004,0.409,0.14400000000000002,0.317,39.2,74.4,55.3,43.9,7.9,6.8,7.1,112.8,106.9,2014-15,0,0
Los Angeles Clippers,Los Angeles Lakers,118,111,1,2014-10-31,10:30 PM,"STAPLES Center, Los Angeles, California",34,71,0.479,12,33,0.364,38,44,0.8640000000000001,6,30,36,25,6,2,14,26,0.653,0.563,0.465,0.62,16.2,76.9,47.4,73.5,6.2,3.2,13.4,122.0,114.7,2014-15,0,1
Sacramento Kings,Portland Trail Blazers,103,94,1,2014-10-31,10:00 PM,"Sleep Train Arena, Sacramento, California",34,81,0.42,4,10,0.4,31,35,0.8859999999999999,14,35,49,14,6,2,10,24,0.534,0.444,0.12300000000000001,0.43200000000000005,33.3,77.8,56.3,41.2,6.8,3.5,9.4,116.3,106.1,2014-15,0,1
Milwaukee Bucks,Philadelphia 76ers,93,81,1,2014-10-31,8:30 PM,"BMO Harris Bradley Center, Milwaukee, Wisconsin",36,88,0.409,9,24,0.375,12,21,0.5710000000000001,15,40,55,25,10,11,18,19,0.478,0.46,0.273,0.239,33.3,76.9,56.7,69.4,10.3,17.5,15.6,96.2,83.8,2014-15,0,1
Phoenix Suns,San Antonio Spurs,94,89,1,2014-10-31,10:00 PM,"US Airways Center, Phoenix, Arizona",35,87,0.402,2,18,0.111,22,26,0.846,12,38,50,15,2,5,7,21,0.47700000000000004,0.414,0.207,0.299,23.1,88.4,52.6,42.9,2.2,9.4,6.6,101.6,96.2,2014-15,0,1
Portland Trail Blazers,Sacramento Kings,94,103,0,2014-10-31,10:00 PM,"Sleep Train Arena, Sacramento, California",34,83,0.41,9,26,0.34600000000000003,17,19,0.895,10,28,38,20,5,8,10,26,0.514,0.46399999999999997,0.313,0.22899999999999998,22.2,66.7,43.7,58.8,5.6,11.3,9.9,106.1,116.3,2014-15,0,0
Philadelphia 76ers,Milwaukee Bucks,81,93,0,2014-10-31,8:30 PM,"BMO Harris Bradley Center, Milwaukee, Wisconsin",32,86,0.37200000000000005,5,23,0.217,12,22,0.545,12,30,42,20,9,5,16,18,0.423,0.401,0.267,0.256,23.1,66.7,43.3,62.5,9.3,7.8,14.3,83.8,96.2,2014-15,0,0
San Antonio Spurs,Phoenix Suns,89,94,0,2014-10-31,10:00 PM,"US Airways Center, Phoenix, Arizona",32,78,0.41,8,25,0.32,17,23,0.7390000000000001,5,40,45,20,3,3,12,25,0.505,0.462,0.321,0.295,11.6,76.9,47.4,62.5,3.2,4.3,12.0,96.2,101.6,2014-15,0,0
Indiana Pacers,Memphis Grizzlies,89,97,0,2014-10-31,7:00 PM,"Bankers Life Fieldhouse, Indianapolis, Indiana",34,74,0.45899999999999996,8,21,0.381,13,16,0.813,11,35,46,19,5,3,18,15,0.5489999999999999,0.514,0.284,0.21600000000000003,27.5,76.1,53.5,55.9,5.7,5.0,18.2,102.2,111.4,2014-15,0,1
Chicago Bulls,Cleveland Cavaliers,108,114,0,2014-10-31,8:00 PM,"United Center, Chicago, Illinois",41,90,0.456,13,31,0.419,13,17,0.765,11,31,42,25,4,14,19,28,0.5539999999999999,0.528,0.344,0.18899999999999997,25.6,60.8,44.7,61.0,4.0,15.7,16.3,106.9,112.8,2014-15,0,1
Los Angeles Lakers,Los Angeles Clippers,111,118,0,2014-10-31,10:30 PM,"STAPLES Center, Los Angeles, California",42,82,0.512,7,20,0.35,20,28,0.7140000000000001,9,31,40,24,5,2,14,35,0.588,0.555,0.244,0.341,23.1,83.8,52.6,57.1,5.2,5.3,12.9,114.7,122.0,2014-15,0,1
Chicago Bulls,Minnesota Timberwolves,106,105,1,2014-11-01,8:00 PM,"Target Center, Minneapolis, Minnesota",33,69,0.478,9,23,0.391,31,40,0.775,5,33,38,15,3,8,14,24,0.612,0.5429999999999999,0.33299999999999996,0.58,14.7,71.7,47.5,45.5,3.2,11.0,13.9,113.7,112.6,2014-15,0,0
Dallas Mavericks,New Orleans Pelicans,109,104,1,2014-11-01,7:00 PM,"Smoothie King Center, New Orleans, Louisiana",46,89,0.517,6,25,0.24,11,19,0.579,11,33,44,25,4,6,12,25,0.56,0.551,0.281,0.213,25.0,70.2,48.4,54.3,4.1,8.6,11.0,112.3,107.2,2014-15,0,0
Brooklyn Nets,Detroit Pistons,102,90,1,2014-11-01,7:30 PM,"The Palace of Auburn Hills, Auburn Hills, Michigan",42,87,0.483,7,26,0.26899999999999996,11,13,0.846,12,36,48,18,3,3,8,23,0.55,0.523,0.299,0.149,27.9,78.3,53.9,42.9,3.5,5.1,7.9,117.6,103.7,2014-15,0,0
Memphis Grizzlies,Charlotte Hornets,71,69,1,2014-11-01,7:00 PM,"Time Warner Cable Arena, Charlotte, North Carolina",29,80,0.363,3,11,0.273,10,13,0.769,9,36,45,16,8,0,18,22,0.414,0.381,0.138,0.163,18.8,87.8,50.6,55.2,8.6,0.0,17.4,76.3,74.1,2014-15,0,0
Miami Heat,Philadelphia 76ers,114,96,1,2014-11-01,7:00 PM,"Wells Fargo Center, Philadelphia, Pennsylvania",41,83,0.494,12,24,0.5,20,29,0.69,9,26,35,33,16,0,16,20,0.595,0.5660000000000001,0.289,0.349,21.4,86.7,48.6,80.5,16.2,0.0,14.3,115.3,97.1,2014-15,0,0
Toronto Raptors,Orlando Magic,108,95,1,2014-11-01,7:00 PM,"Amway Center, Orlando, Florida",33,83,0.39799999999999996,4,21,0.19,38,48,0.792,15,35,50,13,4,4,7,21,0.519,0.42200000000000004,0.253,0.578,32.6,79.5,55.6,39.4,4.3,6.6,6.3,115.5,101.6,2014-15,0,0
Houston Rockets,Boston Celtics,104,90,1,2014-11-01,8:00 PM,"Toyota Center, Houston, Texas",32,76,0.42100000000000004,12,34,0.353,28,40,0.7,10,39,49,20,9,8,17,24,0.556,0.5,0.447,0.526,25.0,73.6,52.7,62.5,9.2,11.0,15.4,106.6,92.2,2014-15,0,1
Utah Jazz,Phoenix Suns,118,91,1,2014-11-01,9:00 PM,"EnergySolutions Arena, Salt Lake City, Utah",42,88,0.47700000000000004,7,26,0.26899999999999996,27,33,0.818,13,39,52,19,10,6,13,15,0.575,0.517,0.295,0.375,31.7,86.7,60.5,45.2,10.2,10.7,11.3,120.8,93.2,2014-15,0,1
Oklahoma City Thunder,Denver Nuggets,102,91,1,2014-11-01,8:00 PM,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",37,80,0.46299999999999997,6,20,0.3,22,31,0.71,6,35,41,24,8,6,13,20,0.545,0.5,0.25,0.38799999999999996,16.7,76.1,50.0,64.9,8.4,11.1,12.2,106.7,95.2,2014-15,0,1
Golden State Warriors,Los Angeles Lakers,127,104,1,2014-11-01,10:30 PM,"Oracle Arena, Oakland, California",46,83,0.5539999999999999,11,23,0.478,24,28,0.857,12,31,43,30,10,4,20,26,0.6659999999999999,0.62,0.27699999999999997,0.337,37.5,64.6,53.8,65.2,9.9,5.4,17.3,126.0,103.2,2014-15,0,1
Atlanta Hawks,Indiana Pacers,102,92,1,2014-11-01,7:30 PM,"Philips Arena, Atlanta, Georgia",35,69,0.507,7,20,0.35,25,33,0.758,3,34,37,26,10,6,12,20,0.611,0.5579999999999999,0.29,0.478,8.3,75.6,45.7,74.3,10.8,12.2,12.6,110.0,99.2,2014-15,0,1
Washington Wizards,Milwaukee Bucks,108,97,1,2014-11-01,7:00 PM,"Verizon Center, Washington, District of Columbia",40,73,0.5479999999999999,4,13,0.308,24,33,0.727,6,28,34,28,18,5,19,21,0.617,0.575,0.17800000000000002,0.452,18.8,63.6,44.7,70.0,18.2,8.6,17.8,109.5,98.3,2014-15,0,1
Boston Celtics,Houston Rockets,90,104,0,2014-11-01,8:00 PM,"Toyota Center, Houston, Texas",37,98,0.37799999999999995,1,25,0.04,15,18,0.833,14,30,44,20,10,8,10,26,0.425,0.38299999999999995,0.255,0.184,26.4,75.0,47.3,54.1,10.2,19.0,8.6,92.2,106.6,2014-15,0,0
Phoenix Suns,Utah Jazz,91,118,0,2014-11-01,9:00 PM,"EnergySolutions Arena, Salt Lake City, Utah",36,87,0.414,7,31,0.226,12,15,0.8,6,28,34,17,8,7,11,22,0.486,0.45399999999999996,0.35600000000000004,0.172,13.3,68.3,39.5,47.2,8.2,11.3,10.5,93.2,120.8,2014-15,0,0
Denver Nuggets,Oklahoma City Thunder,91,102,0,2014-11-01,8:00 PM,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",35,80,0.43799999999999994,7,26,0.26899999999999996,14,20,0.7,11,30,41,19,4,10,17,26,0.512,0.48100000000000004,0.325,0.25,23.9,83.3,50.0,54.3,4.2,16.7,16.1,95.2,106.7,2014-15,0,0
Los Angeles Lakers,Golden State Warriors,104,127,0,2014-11-01,10:30 PM,"Oracle Arena, Oakland, California",41,88,0.466,4,14,0.28600000000000003,18,25,0.72,17,20,37,21,9,3,22,27,0.525,0.489,0.159,0.284,35.4,62.5,46.3,51.2,8.9,5.0,18.2,103.2,126.0,2014-15,0,0
Indiana Pacers,Atlanta Hawks,92,102,0,2014-11-01,7:30 PM,"Philips Arena, Atlanta, Georgia",31,81,0.38299999999999995,12,32,0.375,18,21,0.857,11,33,44,25,5,5,18,26,0.51,0.457,0.395,0.259,24.4,91.7,54.3,80.6,5.4,10.2,16.6,99.2,110.0,2014-15,0,0
Milwaukee Bucks,Washington Wizards,97,108,0,2014-11-01,7:00 PM,"Verizon Center, Washington, District of Columbia",34,80,0.425,9,22,0.409,20,24,0.833,16,26,42,18,11,3,27,28,0.536,0.48100000000000004,0.275,0.3,36.4,81.3,55.3,52.9,11.2,5.0,23.0,98.3,109.5,2014-15,0,0
Minnesota Timberwolves,Chicago Bulls,105,106,0,2014-11-01,8:00 PM,"Target Center, Minneapolis, Minnesota",38,85,0.447,4,12,0.33299999999999996,25,31,0.8059999999999999,13,29,42,26,9,4,10,29,0.532,0.47100000000000003,0.141,0.365,28.3,85.3,52.5,68.4,9.7,8.7,9.2,112.6,113.7,2014-15,0,1
New Orleans Pelicans,Dallas Mavericks,104,109,0,2014-11-01,7:00 PM,"Smoothie King Center, New Orleans, Louisiana",38,89,0.42700000000000005,7,19,0.368,21,28,0.75,14,33,47,24,8,4,13,19,0.513,0.466,0.213,0.315,29.8,75.0,51.6,63.2,8.2,6.3,11.4,107.2,112.3,2014-15,0,1
Detroit Pistons,Brooklyn Nets,90,102,0,2014-11-01,7:30 PM,"The Palace of Auburn Hills, Auburn Hills, Michigan",32,76,0.42100000000000004,1,17,0.059000000000000004,25,35,0.7140000000000001,10,31,41,21,3,3,7,15,0.49200000000000005,0.428,0.22399999999999998,0.461,21.7,72.1,46.1,65.6,3.5,4.9,7.1,103.7,117.6,2014-15,0,1
Charlotte Hornets,Memphis Grizzlies,69,71,0,2014-11-01,7:00 PM,"Time Warner Cable Arena, Charlotte, North Carolina",26,72,0.361,4,14,0.28600000000000003,13,18,0.722,5,39,44,17,10,4,20,16,0.43200000000000005,0.389,0.19399999999999998,0.25,12.2,81.3,49.4,65.4,10.7,5.8,20.0,74.1,76.3,2014-15,0,1
Philadelphia 76ers,Miami Heat,96,114,0,2014-11-01,7:00 PM,"Wells Fargo Center, Philadelphia, Pennsylvania",35,67,0.522,7,23,0.304,19,26,0.731,4,33,37,28,9,10,24,21,0.612,0.575,0.34299999999999997,0.38799999999999996,13.3,78.6,51.4,80.0,9.1,16.9,23.4,97.1,115.3,2014-15,0,1
Orlando Magic,Toronto Raptors,95,108,0,2014-11-01,7:00 PM,"Amway Center, Orlando, Florida",38,81,0.469,7,20,0.35,12,24,0.5,9,31,40,25,3,7,14,37,0.519,0.512,0.247,0.29600000000000004,20.5,67.4,44.4,65.8,3.2,11.3,13.3,101.6,115.5,2014-15,0,1
Golden State Warriors,Portland Trail Blazers,95,90,1,2014-11-02,9:00 PM,"Moda Center, Portland, Oregon",36,81,0.444,6,19,0.316,17,21,0.81,7,34,41,22,11,7,17,16,0.526,0.48100000000000004,0.235,0.259,15.2,66.7,42.3,61.1,11.2,10.8,15.9,96.9,91.8,2014-15,0,0
Sacramento Kings,Los Angeles Clippers,98,92,1,2014-11-02,3:30 PM,"STAPLES Center, Los Angeles, California",34,68,0.5,3,10,0.3,27,33,0.818,9,37,46,21,4,11,19,22,0.594,0.522,0.147,0.485,27.3,77.1,56.8,61.8,4.4,19.3,18.7,108.2,101.5,2014-15,0,0
New York Knicks,Charlotte Hornets,96,93,1,2014-11-02,7:30 PM,"Madison Square Garden (IV), New York, New York",39,78,0.5,8,16,0.5,10,17,0.588,8,27,35,23,5,0,12,26,0.562,0.551,0.205,0.218,21.1,77.1,47.9,59.0,5.8,0.0,12.3,111.3,107.8,2014-15,0,1
Miami Heat,Toronto Raptors,107,102,1,2014-11-02,6:00 PM,"AmericanAirlines Arena, Miami, Florida",35,70,0.5,9,24,0.375,28,38,0.737,11,32,43,22,6,6,16,29,0.617,0.564,0.34299999999999997,0.5429999999999999,36.7,78.0,60.6,62.9,6.6,9.5,15.6,117.5,112.0,2014-15,0,1
