Team,Opponent,Team-Score,Opponent-Score,Win,Date,Time,Location,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,DRtg,Season,Playoff,Home
Cleveland Cavaliers,Washington Wizards,94,84,1,2012-10-30,7:00 PM,"Quicken Loans Arena, Cleveland, Ohio",36,79,0.456,7,20,0.35,15,22,0.682,18,36,54,22,7,5,20,21,0.53,0.5,0.253,0.278,46.2,66.7,58.1,61.1,8.0,8.6,18.4,106.9,95.5,2012-13,0,1
Dallas Mavericks,Los Angeles Lakers,99,91,1,2012-10-30,7:30 PM,"STAPLES Center, Los Angeles, California",40,85,0.47100000000000003,5,15,0.33299999999999996,14,18,0.778,9,31,40,22,9,5,11,25,0.5329999999999999,0.5,0.17600000000000002,0.212,22.5,67.4,46.5,55.0,9.9,7.8,10.6,108.7,99.9,2012-13,0,0
Miami Heat,Boston Celtics,120,107,1,2012-10-30,8:00 PM,"AmericanAirlines Arena, Miami, Florida",43,79,0.544,8,16,0.5,26,32,0.813,5,31,36,25,8,5,8,20,0.645,0.595,0.203,0.405,12.8,81.6,46.8,58.1,8.5,8.1,7.9,127.0,113.2,2012-13,0,1
Washington Wizards,Cleveland Cavaliers,84,94,0,2012-10-30,7:00 PM,"Quicken Loans Arena, Cleveland, Ohio",32,90,0.35600000000000004,8,32,0.25,12,20,0.6,18,21,39,26,11,10,12,19,0.425,0.4,0.35600000000000004,0.222,33.3,53.8,41.9,81.3,12.5,16.9,10.8,95.5,106.9,2012-13,0,0
Los Angeles Lakers,Dallas Mavericks,91,99,0,2012-10-30,7:30 PM,"STAPLES Center, Los Angeles, California",38,77,0.494,3,13,0.231,12,31,0.387,15,31,46,24,6,5,14,21,0.502,0.513,0.16899999999999998,0.40299999999999997,32.6,77.5,53.5,63.2,6.6,7.1,13.4,99.9,108.7,2012-13,0,1
Boston Celtics,Miami Heat,107,120,0,2012-10-30,8:00 PM,"AmericanAirlines Arena, Miami, Florida",39,75,0.52,6,13,0.462,23,28,0.821,7,34,41,24,4,2,15,23,0.613,0.56,0.17300000000000001,0.373,18.4,87.2,53.2,61.5,4.2,3.2,14.7,113.2,127.0,2012-13,0,0
Philadelphia 76ers,Denver Nuggets,84,75,1,2012-10-31,7:00 PM,"Wells Fargo Center, Philadelphia, Pennsylvania",30,85,0.353,7,25,0.28,17,21,0.81,14,33,47,18,13,11,15,14,0.446,0.39399999999999996,0.294,0.247,26.9,67.3,46.5,60.0,14.0,15.7,13.7,90.4,80.8,2012-13,0,1
Golden State Warriors,Phoenix Suns,87,85,1,2012-10-31,7:00 PM,"US Airways Center, Phoenix, Arizona",33,86,0.384,5,17,0.294,16,23,0.696,17,32,49,19,9,3,18,20,0.45299999999999996,0.413,0.198,0.267,34.0,74.4,52.7,57.6,9.6,5.1,15.8,92.8,90.6,2012-13,0,0
Chicago Bulls,Sacramento Kings,93,87,1,2012-10-31,7:00 PM,"United Center, Chicago, Illinois",33,79,0.418,2,9,0.222,25,33,0.758,14,32,46,21,8,10,18,19,0.49700000000000005,0.43,0.114,0.418,32.6,74.4,53.5,63.6,8.4,14.9,16.1,98.0,91.6,2012-13,0,1
San Antonio Spurs,New Orleans Hornets,99,95,1,2012-10-31,7:00 PM,"New Orleans Arena, New Orleans, Louisiana",38,80,0.475,6,20,0.3,17,26,0.654,10,33,43,22,9,8,15,21,0.541,0.513,0.25,0.325,22.7,78.6,50.0,57.9,9.6,12.7,14.1,105.8,101.6,2012-13,0,0
Utah Jazz,Dallas Mavericks,113,94,1,2012-10-31,7:00 PM,"EnergySolutions Arena, Salt Lake City, Utah",38,89,0.42700000000000005,6,14,0.429,31,42,0.738,20,41,61,24,10,8,14,25,0.526,0.461,0.157,0.47200000000000003,38.5,83.7,60.4,63.2,10.0,12.7,11.5,112.5,93.6,2012-13,0,1
Indiana Pacers,Toronto Raptors,90,88,1,2012-10-31,7:00 PM,"Air Canada Centre, Toronto, Canada",37,78,0.474,5,11,0.455,11,16,0.688,9,37,46,22,3,10,18,16,0.529,0.506,0.141,0.205,25.0,71.2,52.3,59.5,3.3,13.5,17.5,98.8,96.6,2012-13,0,0
Houston Rockets,Detroit Pistons,105,96,1,2012-10-31,7:30 PM,"The Palace of Auburn Hills, Auburn Hills, Michigan",39,79,0.494,10,27,0.37,17,23,0.7390000000000001,12,33,45,28,12,3,20,24,0.589,0.557,0.342,0.29100000000000004,31.6,76.7,55.6,71.8,12.7,4.8,18.3,111.0,101.5,2012-13,0,0
Los Angeles Clippers,Memphis Grizzlies,101,92,1,2012-10-31,7:30 PM,"STAPLES Center, Los Angeles, California",38,74,0.514,5,15,0.33299999999999996,20,29,0.69,8,31,39,25,12,9,22,27,0.5820000000000001,0.547,0.203,0.392,22.9,64.6,47.0,65.8,12.3,12.5,20.2,103.7,94.5,2012-13,0,1
Portland Trail Blazers,Los Angeles Lakers,116,106,1,2012-10-31,7:30 PM,"Rose Garden Arena, Portland, Oregon",42,83,0.506,9,20,0.45,23,28,0.821,10,20,30,19,10,5,12,20,0.608,0.56,0.24100000000000002,0.337,25.0,57.1,40.0,45.2,10.7,9.3,11.2,123.7,113.1,2012-13,0,1
Denver Nuggets,Philadelphia 76ers,75,84,0,2012-10-31,7:00 PM,"Wells Fargo Center, Philadelphia, Pennsylvania",33,88,0.375,4,18,0.222,5,11,0.455,16,38,54,19,9,5,20,22,0.40399999999999997,0.39799999999999996,0.205,0.125,32.7,73.1,53.5,57.6,9.7,8.3,17.7,80.8,90.4,2012-13,0,0
Phoenix Suns,Golden State Warriors,85,87,0,2012-10-31,7:00 PM,"US Airways Center, Phoenix, Arizona",32,80,0.4,4,21,0.19,17,22,0.773,11,33,44,16,10,12,18,23,0.474,0.425,0.263,0.275,25.6,66.0,47.3,50.0,10.7,17.4,16.7,90.6,92.8,2012-13,0,1
Sacramento Kings,Chicago Bulls,87,93,0,2012-10-31,7:00 PM,"United Center, Chicago, Illinois",34,84,0.405,6,17,0.353,13,16,0.813,11,29,40,14,10,5,19,29,0.478,0.44,0.20199999999999999,0.19,25.6,67.4,46.5,41.2,10.5,7.1,17.3,91.6,98.0,2012-13,0,0
New Orleans Hornets,San Antonio Spurs,95,99,0,2012-10-31,7:00 PM,"New Orleans Arena, New Orleans, Louisiana",35,80,0.43799999999999994,4,17,0.235,21,23,0.9129999999999999,9,34,43,26,7,6,13,20,0.527,0.46299999999999997,0.213,0.28800000000000003,21.4,77.3,50.0,74.3,7.5,10.0,12.6,101.6,105.8,2012-13,0,1
