Team,Opponent,Team-Score,Opponent-Score,Win,Date,Time,Location,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,DRtg,Season,Playoff,Home
Boston Celtics,Philadelphia 76ers,112,95,1,2015-10-28,7:30 PM,"TD Garden, Boston, Massachusetts",39,85,0.45899999999999996,8,24,0.33299999999999996,26,27,0.963,10,31,41,31,10,7,17,23,0.578,0.506,0.282,0.318,23.8,68.9,47.1,79.5,10.1,11.5,14.9,112.6,95.5,2015-16,0,1
Portland Trail Blazers,New Orleans Pelicans,112,94,1,2015-10-28,10:00 PM,"Moda Center, Portland, Oregon",44,88,0.5,12,32,0.375,12,14,0.857,6,45,51,22,7,4,12,21,0.595,0.568,0.364,0.159,15.0,90.0,56.7,50.0,6.9,6.9,11.3,111.0,93.1,2015-16,0,1
Toronto Raptors,Indiana Pacers,106,99,1,2015-10-28,7:30 PM,"Air Canada Centre, Toronto, Canada",36,80,0.45,7,18,0.389,27,39,0.6920000000000001,9,41,50,19,8,2,20,24,0.545,0.494,0.225,0.488,22.0,83.7,55.6,52.8,7.7,3.2,17.1,102.3,95.5,2015-16,0,1
San Antonio Spurs,Oklahoma City Thunder,106,112,0,2015-10-28,8:00 PM,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",45,93,0.484,5,15,0.33299999999999996,11,13,0.846,7,29,36,22,11,9,13,18,0.537,0.511,0.161,0.14,17.1,72.5,44.4,48.9,10.8,13.4,11.6,104.3,110.2,2015-16,0,0
Charlotte Hornets,Miami Heat,94,104,0,2015-10-28,7:30 PM,"AmericanAirlines Arena, Miami, Florida",33,84,0.39299999999999996,6,24,0.25,22,29,0.759,11,32,43,16,4,1,8,16,0.486,0.429,0.28600000000000003,0.345,22.0,94.1,51.2,48.5,4.4,1.9,7.6,102.4,113.2,2015-16,0,0
Utah Jazz,Detroit Pistons,87,92,0,2015-10-28,7:30 PM,"The Palace of Auburn Hills, Auburn Hills, Michigan",35,75,0.467,2,12,0.16699999999999998,15,21,0.7140000000000001,4,34,38,15,4,5,12,25,0.516,0.48,0.16,0.28,10.3,81.0,46.9,42.9,4.5,9.1,12.5,96.9,102.4,2015-16,0,0
Philadelphia 76ers,Boston Celtics,95,112,0,2015-10-28,7:30 PM,"TD Garden, Boston, Massachusetts",34,83,0.41,7,22,0.318,20,23,0.87,14,32,46,12,11,6,22,22,0.51,0.452,0.265,0.27699999999999997,31.1,76.2,52.9,35.3,11.1,9.8,19.1,95.5,112.6,2015-16,0,0
New Orleans Pelicans,Portland Trail Blazers,94,112,0,2015-10-28,10:00 PM,"Moda Center, Portland, Oregon",36,91,0.396,11,33,0.33299999999999996,11,18,0.611,5,34,39,19,7,2,11,17,0.475,0.456,0.363,0.198,10.0,85.0,43.3,52.8,6.9,3.6,10.0,93.1,111.0,2015-16,0,0
Indiana Pacers,Toronto Raptors,99,106,0,2015-10-28,7:30 PM,"Air Canada Centre, Toronto, Canada",32,86,0.37200000000000005,9,23,0.391,26,31,0.8390000000000001,8,32,40,23,14,3,13,30,0.49700000000000005,0.424,0.267,0.36,16.3,78.0,44.4,71.9,13.5,4.8,11.5,95.5,102.3,2015-16,0,0
Los Angeles Lakers,Minnesota Timberwolves,111,112,0,2015-10-28,10:30 PM,"STAPLES Center, Los Angeles, California",35,90,0.389,9,34,0.265,32,35,0.914,12,36,48,18,2,4,13,29,0.527,0.439,0.37799999999999995,0.389,26.7,85.7,55.2,51.4,2.0,6.3,11.0,110.9,111.9,2015-16,0,1
Brooklyn Nets,Chicago Bulls,100,115,0,2015-10-28,7:30 PM,"Barclays Center, Brooklyn, New York",39,93,0.419,0,9,0.0,22,28,0.7859999999999999,16,29,45,19,11,5,13,18,0.475,0.419,0.09699999999999999,0.301,32.0,85.3,53.6,48.7,11.1,10.0,11.0,101.0,116.1,2015-16,0,1
Memphis Grizzlies,Cleveland Cavaliers,76,106,0,2015-10-28,8:00 PM,"FedEx Forum, Memphis, Tennessee",29,82,0.354,2,16,0.125,16,22,0.727,11,29,40,15,8,3,16,18,0.414,0.366,0.195,0.268,20.8,70.7,42.6,51.7,8.4,5.5,14.9,79.4,110.8,2015-16,0,1
Phoenix Suns,Dallas Mavericks,95,111,0,2015-10-28,10:00 PM,"Talking Stick Resort Arena, Phoenix, Arizona",34,87,0.391,6,24,0.25,21,33,0.636,13,40,53,15,3,3,18,30,0.46799999999999997,0.425,0.276,0.379,23.6,87.0,52.5,44.1,2.9,4.7,15.1,93.2,108.9,2015-16,0,1
Orlando Magic,Washington Wizards,87,88,0,2015-10-28,7:00 PM,"Amway Center, Orlando, Florida",37,100,0.37,5,26,0.192,8,12,0.667,17,39,56,20,9,6,14,22,0.413,0.395,0.26,0.12,33.3,72.2,53.3,54.1,9.4,10.7,11.7,90.5,91.6,2015-16,0,1
Milwaukee Bucks,New York Knicks,97,122,0,2015-10-28,8:00 PM,"BMO Harris Bradley Center, Milwaukee, Wisconsin",30,86,0.349,9,18,0.5,28,31,0.903,18,29,47,17,7,4,18,27,0.48700000000000004,0.401,0.209,0.36,37.5,60.4,49.0,56.7,7.4,5.7,15.3,101.9,128.2,2015-16,0,1
Houston Rockets,Denver Nuggets,85,105,0,2015-10-28,8:00 PM,"Toyota Center, Houston, Texas",30,87,0.345,8,35,0.22899999999999998,17,26,0.654,15,29,44,17,13,8,16,19,0.43200000000000005,0.391,0.402,0.299,27.3,76.3,47.3,56.7,13.4,15.4,14.0,87.6,108.2,2015-16,0,1
Sacramento Kings,Los Angeles Clippers,104,111,0,2015-10-28,10:00 PM,"Sleep Train Arena, Sacramento, California",41,94,0.436,11,24,0.45799999999999996,11,18,0.611,12,37,49,24,8,3,16,27,0.51,0.495,0.255,0.191,25.0,86.0,53.8,58.5,7.8,4.9,13.6,101.6,108.4,2015-16,0,1
Memphis Grizzlies,Indiana Pacers,112,103,1,2015-10-29,7:00 PM,"Bankers Life Fieldhouse, Indianapolis, Indiana",41,82,0.5,7,16,0.43799999999999994,23,29,0.7929999999999999,12,30,42,26,12,5,14,25,0.591,0.5429999999999999,0.195,0.354,30.0,75.0,52.5,63.4,12.6,10.4,12.9,117.2,107.8,2015-16,0,0
Atlanta Hawks,New York Knicks,112,101,1,2015-10-29,8:00 PM,"Madison Square Garden (IV), New York, New York",42,83,0.506,10,24,0.41700000000000004,18,26,0.6920000000000001,7,32,39,26,11,4,15,18,0.593,0.5660000000000001,0.289,0.313,17.9,66.7,44.8,61.9,10.8,6.3,13.7,110.2,99.4,2015-16,0,0
Los Angeles Clippers,Dallas Mavericks,104,88,1,2015-10-29,10:30 PM,"STAPLES Center, Los Angeles, California",38,87,0.43700000000000006,8,31,0.258,20,33,0.606,8,45,53,21,6,8,8,17,0.512,0.483,0.35600000000000004,0.379,16.3,76.3,49.1,55.3,6.0,11.9,7.3,104.6,88.5,2015-16,0,1
Dallas Mavericks,Los Angeles Clippers,88,104,0,2015-10-29,10:30 PM,"STAPLES Center, Los Angeles, California",35,97,0.361,6,30,0.2,12,15,0.8,14,41,55,22,4,2,12,26,0.425,0.392,0.309,0.155,23.7,83.7,50.9,62.9,4.0,3.6,10.4,88.5,104.6,2015-16,0,0
Indiana Pacers,Memphis Grizzlies,103,112,0,2015-10-29,7:00 PM,"Bankers Life Fieldhouse, Indianapolis, Indiana",37,78,0.474,12,30,0.4,17,24,0.708,10,28,38,23,7,4,20,22,0.5820000000000001,0.551,0.385,0.308,25.0,70.0,47.5,62.2,7.3,6.1,18.4,107.8,117.2,2015-16,0,1
New York Knicks,Atlanta Hawks,101,112,0,2015-10-29,8:00 PM,"Madison Square Garden (IV), New York, New York",38,93,0.409,6,29,0.207,19,21,0.905,16,32,48,21,10,4,21,24,0.494,0.441,0.312,0.226,33.3,82.1,55.2,55.3,9.8,6.8,17.0,99.4,110.2,2015-16,0,1
Utah Jazz,Philadelphia 76ers,99,71,1,2015-10-30,7:00 PM,"Wells Fargo Center, Philadelphia, Pennsylvania",36,88,0.409,7,13,0.5379999999999999,20,25,0.8,13,38,51,19,10,9,7,22,0.5,0.449,0.14800000000000002,0.284,29.5,82.6,56.7,52.8,11.4,18.8,6.6,112.4,80.6,2015-16,0,0
Golden State Warriors,Houston Rockets,112,92,1,2015-10-30,9:30 PM,"Toyota Center, Houston, Texas",43,93,0.462,9,26,0.34600000000000003,17,25,0.68,11,36,47,26,9,4,8,24,0.5379999999999999,0.511,0.28,0.26899999999999996,22.9,75.0,49.0,60.5,9.1,6.8,7.1,113.6,93.3,2015-16,0,0
Toronto Raptors,Boston Celtics,113,103,1,2015-10-30,7:30 PM,"TD Garden, Boston, Massachusetts",36,82,0.439,11,26,0.423,30,35,0.857,9,44,53,23,11,3,21,33,0.58,0.506,0.317,0.42700000000000005,22.5,86.3,58.2,63.9,10.2,5.1,17.7,104.4,95.1,2015-16,0,0
Oklahoma City Thunder,Orlando Magic,139,136,1,2015-10-30,7:00 PM,"Amway Center, Orlando, Florida",50,110,0.455,8,27,0.29600000000000004,31,38,0.816,22,40,62,19,8,9,20,28,0.5479999999999999,0.491,0.245,0.345,38.6,74.1,55.9,38.0,6.6,12.3,13.6,115.2,112.7,2015-16,0,0
Washington Wizards,Milwaukee Bucks,118,113,1,2015-10-30,8:00 PM,"BMO Harris Bradley Center, Milwaukee, Wisconsin",35,68,0.515,12,21,0.5710000000000001,36,44,0.818,8,29,37,25,7,5,21,20,0.675,0.603,0.309,0.647,23.5,82.9,53.6,71.4,7.0,8.6,19.4,117.9,112.9,2015-16,0,0
Minnesota Timberwolves,Denver Nuggets,95,78,1,2015-10-30,9:00 PM,"Pepsi Center, Denver, Colorado",30,71,0.423,2,11,0.182,33,41,0.805,7,42,49,18,7,6,17,24,0.5329999999999999,0.43700000000000006,0.155,0.5770000000000001,17.1,71.2,49.0,60.0,7.2,8.6,16.0,98.2,80.6,2015-16,0,0
Atlanta Hawks,Charlotte Hornets,97,94,1,2015-10-30,8:00 PM,"Philips Arena, Atlanta, Georgia",36,83,0.434,8,23,0.348,17,22,0.773,8,37,45,23,9,4,15,17,0.523,0.48200000000000004,0.27699999999999997,0.265,16.3,74.0,45.5,63.9,9.2,6.9,13.9,99.3,96.3,2015-16,0,1
Detroit Pistons,Chicago Bulls,98,94,1,2015-10-30,7:30 PM,"The Palace of Auburn Hills, Auburn Hills, Michigan",39,104,0.375,6,28,0.214,14,28,0.5,20,41,61,18,9,2,14,19,0.42100000000000004,0.40399999999999997,0.26899999999999996,0.26899999999999996,32.3,83.7,55.0,46.2,8.5,3.2,10.7,92.7,88.9,2015-16,0,1
Sacramento Kings,Los Angeles Lakers,132,114,1,2015-10-30,10:00 PM,"Sleep Train Arena, Sacramento, California",52,101,0.515,6,22,0.273,22,30,0.733,16,40,56,26,6,7,14,23,0.578,0.545,0.218,0.297,35.6,83.3,60.2,50.0,5.5,12.7,10.9,120.8,104.3,2015-16,0,1
San Antonio Spurs,Brooklyn Nets,102,75,1,2015-10-30,8:30 PM,"AT&T Center, San Antonio, Texas",40,86,0.465,9,22,0.409,13,13,1.0,12,44,56,23,7,4,18,16,0.556,0.517,0.256,0.151,28.6,95.7,63.6,57.5,7.3,6.6,16.4,106.8,78.5,2015-16,0,1
Cleveland Cavaliers,Miami Heat,102,92,1,2015-10-30,7:00 PM,"Quicken Loans Arena, Cleveland, Ohio",39,86,0.45299999999999996,6,25,0.24,18,21,0.857,14,35,49,25,4,4,11,19,0.535,0.488,0.29100000000000004,0.244,30.4,85.4,56.3,64.1,4.4,7.1,10.4,112.1,101.1,2015-16,0,1
Phoenix Suns,Portland Trail Blazers,110,92,1,2015-10-30,10:30 PM,"Talking Stick Resort Arena, Phoenix, Arizona",37,83,0.446,4,18,0.222,32,42,0.762,11,44,55,17,13,7,19,17,0.542,0.47,0.217,0.506,26.2,80.0,56.7,45.9,12.3,11.3,15.8,104.1,87.0,2015-16,0,1
Charlotte Hornets,Atlanta Hawks,94,97,0,2015-10-30,8:00 PM,"Philips Arena, Atlanta, Georgia",36,88,0.409,12,30,0.4,10,13,0.769,13,41,54,23,7,6,18,20,0.501,0.47700000000000004,0.341,0.14800000000000002,26.0,83.7,54.5,63.9,7.2,10.0,16.1,96.3,99.3,2015-16,0,0
