Team,Opponent,Team-Score,Opponent-Score,Win,Date,Time,Location,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,DRtg,Season,Playoff,Home
Miami Heat,Chicago Bulls,107,95,1,2013-10-29,8:00 PM,"AmericanAirlines Arena, Miami, Florida",37,72,0.514,11,20,0.55,22,29,0.759,5,35,40,26,10,7,18,21,0.631,0.59,0.278,0.40299999999999997,14.3,76.1,49.4,70.3,10.3,12.3,17.5,110.2,97.9,2013-14,0,1
Los Angeles Lakers,Los Angeles Clippers,116,103,1,2013-10-29,10:30 PM,"STAPLES Center, Los Angeles, California",42,93,0.452,14,29,0.483,18,28,0.643,18,34,52,23,8,6,19,23,0.551,0.527,0.312,0.301,37.5,77.3,56.5,54.8,8.0,9.7,15.3,115.6,102.6,2013-14,0,1
Indiana Pacers,Orlando Magic,97,87,1,2013-10-29,7:00 PM,"Bankers Life Fieldhouse, Indianapolis, Indiana",34,71,0.479,7,17,0.41200000000000003,22,32,0.688,10,34,44,17,4,18,20,13,0.57,0.528,0.239,0.451,27.8,72.3,53.0,50.0,4.2,24.3,19.0,102.1,91.6,2013-14,0,1
Chicago Bulls,Miami Heat,95,107,0,2013-10-29,8:00 PM,"AmericanAirlines Arena, Miami, Florida",35,83,0.42200000000000004,7,26,0.26899999999999996,18,23,0.7829999999999999,11,30,41,23,11,4,18,27,0.51,0.46399999999999997,0.313,0.27699999999999997,23.9,85.7,50.6,65.7,11.3,7.7,16.2,97.9,110.2,2013-14,0,0
Los Angeles Clippers,Los Angeles Lakers,103,116,0,2013-10-29,10:30 PM,"STAPLES Center, Los Angeles, California",41,83,0.494,8,21,0.381,13,23,0.565,10,30,40,27,11,4,16,21,0.5529999999999999,0.542,0.253,0.27699999999999997,22.7,62.5,43.5,65.9,11.0,6.3,14.7,102.6,115.6,2013-14,0,1
Orlando Magic,Indiana Pacers,87,97,0,2013-10-29,7:00 PM,"Bankers Life Fieldhouse, Indianapolis, Indiana",36,93,0.387,9,19,0.474,6,10,0.6,13,26,39,17,10,6,17,26,0.447,0.435,0.204,0.10800000000000001,27.7,72.2,47.0,47.2,10.5,11.1,14.9,91.6,102.1,2013-14,0,0
Oklahoma City Thunder,Utah Jazz,101,98,1,2013-10-30,9:00 PM,"EnergySolutions Arena, Salt Lake City, Utah",33,81,0.40700000000000003,6,19,0.316,29,33,0.879,10,35,45,9,15,4,13,24,0.529,0.444,0.235,0.40700000000000003,22.7,77.8,50.6,27.3,15.1,7.0,12.0,101.9,98.8,2013-14,0,0
Indiana Pacers,New Orleans Pelicans,95,90,1,2013-10-30,8:00 PM,"Smoothie King Center, New Orleans, Louisiana",30,70,0.429,10,23,0.435,25,30,0.833,6,31,37,19,5,12,16,18,0.5710000000000001,0.5,0.32899999999999996,0.429,17.6,67.4,46.3,63.3,5.5,16.2,16.1,104.9,99.4,2013-14,0,0
Houston Rockets,Charlotte Bobcats,96,83,1,2013-10-30,8:00 PM,"Toyota Center, Houston, Texas",36,76,0.474,9,25,0.36,15,24,0.625,14,40,54,17,4,6,18,16,0.555,0.5329999999999999,0.32899999999999996,0.316,35.9,76.9,59.3,47.2,4.5,7.5,17.2,107.2,92.7,2013-14,0,1
New York Knicks,Milwaukee Bucks,90,83,1,2013-10-30,7:30 PM,"Madison Square Garden (IV), New York, New York",36,71,0.507,3,13,0.231,15,17,0.882,6,28,34,17,12,6,22,16,0.573,0.528,0.183,0.239,18.8,84.8,52.3,47.2,12.8,10.3,21.9,95.7,88.3,2013-14,0,1
